nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
faq-code-du-travail,SocialGouv,GitHub,https://github.com/SocialGouv/faq-code-du-travail,FAQ Code du travail,False,False,2018-01-18T11:06:20Z,2019-02-26T14:33:15Z,https://socialgouv.github.io/faq-code-du-travail,1,2,Other,4,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocialGouv/faq-code-du-travail/directory/
annuaire-mjpm,SocialGouv,GitHub,https://github.com/SocialGouv/annuaire-mjpm,Annuaire des mandataires judiciaires à la protection des majeurs,False,False,2018-01-18T16:56:36Z,2018-01-18T17:01:13Z,,0,0,,1,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocialGouv/annuaire-mjpm/directory/
work-in-france,SocialGouv,GitHub,https://github.com/SocialGouv/work-in-france,La plateforme de demande d’autorisation provisoire de travail.,False,False,2018-01-26T14:12:08Z,2019-08-09T15:09:22Z,https://workinfrance.beta.gouv.fr/,4,9,Apache License 2.0,11,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocialGouv/work-in-france/directory/
eMJPM-homepage,SocialGouv,GitHub,https://github.com/SocialGouv/eMJPM-homepage,HomePage Le Bon Tuteur,False,False,2018-02-14T17:37:19Z,2019-01-08T16:20:49Z,https://emjpm.beta.gouv.fr/,0,0,,3,CSS,,False,
tutoriel-gitlab,SocialGouv,GitHub,https://github.com/SocialGouv/tutoriel-gitlab,Tutoriel GitLab en Français,False,False,2018-02-26T16:28:24Z,2019-07-10T10:04:11Z,,8,13,,0,,"francais,git,gitlab,tutorial,tutoriel",True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocialGouv/tutoriel-gitlab/directory/
eMJPM-app,SocialGouv,GitHub,https://github.com/SocialGouv/eMJPM-app,Trouver rapidement le bon professionnel pour les majeurs à protéger,False,True,2018-02-28T12:41:08Z,2019-05-20T09:29:30Z,https://emjpm.beta.gouv.fr,1,1,Other,8,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocialGouv/eMJPM-app/directory/
code-du-travail-chatbot,SocialGouv,GitHub,https://github.com/SocialGouv/code-du-travail-chatbot,Prototype d'agent conversationnel pour le code du travail,False,False,2018-03-14T16:21:27Z,2019-01-07T11:45:51Z,,1,0,Apache License 2.0,1,JavaScript,,False,
code-du-travail-data,SocialGouv,GitHub,https://github.com/SocialGouv/code-du-travail-data,Indexation des données du code du travail numérique,False,True,2018-03-20T10:45:48Z,2018-10-11T08:42:48Z,,0,2,Other,3,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocialGouv/code-du-travail-data/directory/
socialgouv.github.io,SocialGouv,GitHub,https://github.com/SocialGouv/socialgouv.github.io,Site de l'incubateur des Ministères sociaux,False,False,2018-03-28T08:16:33Z,2019-08-09T01:34:07Z,https://incubateur.social.gouv.fr/,3,4,Other,13,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocialGouv/socialgouv.github.io/directory/
eMJPM-api,SocialGouv,GitHub,https://github.com/SocialGouv/eMJPM-api,eMJPM website,False,True,2018-03-29T09:45:28Z,2019-05-20T09:30:27Z,https://emjpm.beta.gouv.fr,0,0,Other,8,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/SocialGouv/eMJPM-api/directory/
